what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1524827324806
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1524827324806
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1524827324806
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1524827324806
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1524827324806
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1524827324806
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1524827324806
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1524827324806
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1524827324806
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1524827324806
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1524827324806
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1524827324806
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1524827324806
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1524827324806
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1524827324806
started,bundle,com.altera.sbtgui.integration,13.0.0.156,"com.altera.sbtgui.integration",1524827324806
started,bundle,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch",1524827324806
started,bundle,com.altera.sbtgui.project,13.0.0.156,"com.altera.sbtgui.project",1524827324806
started,bundle,com.altera.systemconsole,13.0.0.156,"com.altera.systemconsole",1524827324806
started,bundle,com.altera.systemconsole.designs.plugin,13.0.0.156,"com.altera.systemconsole.designs.plugin",1524827324806
started,bundle,com.altera.utilities,13.0.0.156,"com.altera.utilities",1524827324806
os,sysinfo,,,"win32",1524827324806
arch,sysinfo,,,"x86",1524827324806
ws,sysinfo,,,"win32",1524827324806
locale,sysinfo,,,"ru_RU",1524827324806
processors,sysinfo,,,"12",1524827324806
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1524827324806
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1524827324806
java.specification.name,sysinfo,,,"Java Platform API Specification",1524827324806
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1524827324806
java.specification.version,sysinfo,,,"1.6",1524827324806
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1524827324806
java.version,sysinfo,,,"1.6.0_23",1524827324806
java.vm.info,sysinfo,,,"mixed mode",1524827324806
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1524827324806
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1524827324806
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1524827324806
java.vm.specification.version,sysinfo,,,"1.0",1524827324806
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1524827324806
java.vm.version,sysinfo,,,"19.0-b09",1524827324806
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1524827324900
started,bundle,com.altera.sbtgui.core,13.0.0.156,"com.altera.sbtgui.core",1524827324931
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1524827328869
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1524827362671
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1524827368203
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524827511114
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524827561028
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1524827618975
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1524827619006
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524827800582
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524829859571
started,bundle,com.altera.sbtgui.ui,13.0.0.156,"com.altera.sbtgui.ui",1524829898452
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1524829898561
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1524829898749
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1524829898780
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1524829898780
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1524829898780
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524829899014
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524829988294
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1524830011501
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1524830011845
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524830070026
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524830150867
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1524830157039
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1524830157039
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524830222175
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524830223347
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1524830225503
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1524830238865
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1524830352336
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1524830356258
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1524830356540
