what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1526285197023
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1526285197335
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1526285203367
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1526285203648
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1526285203695
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1526285230400
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1526285231807
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526285235307
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526285237760
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526285238026
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526285240917
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1526285240917
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1526285241198
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1526285250636
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1526285251746
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526285254199
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526285255574
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1526285302312
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1526285403695
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1526285407132
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526285411445
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526286016663
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526286029445
