what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"12",1526972978083
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1526972978083
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1526972978083
java.specification.name,sysinfo,,,"Java Platform API Specification",1526972978083
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1526972978083
java.specification.version,sysinfo,,,"1.6",1526972978083
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1526972978083
java.version,sysinfo,,,"1.6.0_23",1526972978083
java.vm.info,sysinfo,,,"mixed mode",1526972978083
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1526972978083
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1526972978083
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1526972978083
java.vm.specification.version,sysinfo,,,"1.0",1526972978083
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1526972978083
java.vm.version,sysinfo,,,"19.0-b09",1526972978083
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1526972978208
started,bundle,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch",1526972978270
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1526972980911
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1526972981021
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1526972985162
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1526972985193
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526972985209
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1526972985271
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1526972985271
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1526972985271
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1526972985271
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526972987834
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1526972991538
activated,perspective,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.CPerspective",1526972995179
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1526972997742
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1526972997742
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1526973001336
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526973011588
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526973012166
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526973016667
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526973024325
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1526973028935
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1526973034904
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1526973038092
