what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1526559069022
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1526559092572
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1526559149425
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1526559153676
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526559158380
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526559158395
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1526559158395
error,log,,,"Error starting process.",1526559159552
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526559159552
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526559163052
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526559167491
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526559174342
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526559174342
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526559176436
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1526559176499
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526559176593
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1526559177077
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1526559177077
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.0.0.156,"com.altera.debug.cdi.gdb.plugin",1526559177077
stopped,bundle,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch",1526559177077
stopped,bundle,com.altera.sbtgui.ui,13.0.0.156,"com.altera.sbtgui.ui",1526559177077
stopped,bundle,com.altera.sbtgui.project,13.0.0.156,"com.altera.sbtgui.project",1526559177077
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1526559177077
